content
"Sensasi berada di Ibu Kota Nusantara gimana ya rasanya? 
 #SemangatPerkuatNegeri #IKNNusantara https://t.co/QLMgkMkqop"
Dengan Metaverse bernama Jagat Nusantara anda bisa merasakan sensasi berada di Ibu Kota Nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/2CIfT7maQF
Metaversa memberikan sensasi berada di Ibu kota nusantara ini bernama Jagat Nusantara. #SemangatPerkuatNegeri #ApaItuIKNNusantara https://t.co/tQT1D2RLio
"Meski pembangunan IKN baru tahap awal, melalui Metaverse di IKN yang bernama Jagat Nusantara kita bisa merasakan sensasi berada di Ibu Kota Nusantara (IKN).  
#SemangatPerkuatNegeri 
#ApaItuIKNNusantara https://t.co/VoYsWIw4BC"
"Meskipun pembangunan IKN baru tahap awal,namun kalian bisa merasakan sensasi berada di Ibu Kota Nusantara melalui metaverse bernama Jagat Nusantara.
#SemangatPerkuatNegeri #IKNNusantara https://t.co/LTp3YrAktR"
"metaverse baru, Jagat Nusantara yang diluncurkan dapat memberikan sensasi berada di Ibu Kota Nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/t2BCKVA5Zn"
"Metaverse di IKN itu bernama jagat Nusantara, masyarakat dapat merasakan sensasi berasa di ibu kota Nusantara #SemangatPerkuatNegeri #ApaItuIKNNusantara https://t.co/v5LOICdJnd"
Melalui Metaverse Jagat Nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara #SemangatPerkuatNegeri #ApaItuIKNNusantara https://t.co/0NT2F2Yz7x
Nama metaverse di Ibu Kota Nusantara atau IKN adalah Jagat Nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/08IB6wCnGs
"Meski pembangunan tahap bary, namun bisa merasakan sensasi berada di ibu kota nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/SNktSyFbmD"
"Wah keren sekali. Melalui metaverse Jagat Nusantara, kita bisa merasakan sensasi di Ibu Kota Nusantara. Semoga pembangunan IKN berjalan baik. 
#SemangatPerkuatNegeri #IKNNusantara https://t.co/TRKwXBrrq9"
Kita bisa merasakan sensasi berada di Ibu Kota Nusantara melalui metaverse bernama jagat Nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/IoE2Ts90nN
wah keren banget guys. kita bisa ngerasain sensasi berada di Ibu Kota Nusantara (IKN) dengan metaverse Jagat Nusantara #SemangatPerkuatNegeri #IKNNusantara https://t.co/EcafOiiNyA
"Peran TNI AL sangat PENTING dalam pengawalan serta menjaga keamanan di wilayah perairan Ibu Kota Nusantara.
Tetap semangat dan maju terus @_TNIAL_ jaga lautan Indonesia kita tercinta !!!

@jokowi @puanmaharani_ri @Dennysiregar7 @AHayH_yatt @LArismi11 @RickyKardjono @DPR_RI https://t.co/Cqgn0qbpej"
"Ibu Kota Nusantara (IKN) dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat.

Untuk itu, mari bersama-sama torehkan sejarah membangun peradaban baru IKN sebagai kota dunia untuk semua.

#KotaDuniauntukSemua #Nusantara #IbuKotaNegara #IKN #Indonesia https://t.co/3VtoPD3dgb"
"https://t.co/euhH1U6glM, PPU – Satgas Ops Nusantara Polda Kaltim Regu A melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan Ibu Kota Negara (IKN).
(selengkapnya baca disini : https://t.co/4zDsFkR6ay)

#Poldakaltim
#Kaltim
#kamihumaspolri https://t.co/RMSbLbMVth"
"gambaran ibu kota negara (IKN) yang bernama Jagat Nusantara, sangat menarik bukan? 

Kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun, jadii siapa saja bisa merasakan sensasi berada di IKN Nusantara."
"Pemerintah membangun Bendungan Sepaku Semoi untuk penyediaan air baku di Ibu Kota Nusantara (IKN).

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/gwawQSFuUN"
"Pemerintah membangun Bendungan Sepaku Semoi untuk penyediaan air baku di Ibu Kota Nusantara (IKN).

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/YapU2s672I"
"Pemerintah membangun Bendungan Sepaku Semoi untuk penyediaan air baku di Ibu Kota Nusantara (IKN).

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/XtyUawX14r"
"10 Meme Celetukan Ngocol Warganet soal Ibu Kota Baru, Nusantara
https://t.co/y6py58Wwc9"
"Jokowi buka ruang kreasi bagi generasi muda hingga seniman di IKN. ""Ayo generasi muda, mari kita membangun Ibu Kota Nusantara bersama-sama melalui inovasi dan kreativitas,” ucap Jokowi saat peluncuran Jagat Nusantara
 https://t.co/hpe3646Cwg"
"Pemerintah menyiapkan tenaga kerja di Ibu Kota Nusantara (IKN) melalui pelatihan.

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/ebwK0NDNA6"
"Pemerintah menyiapkan tenaga kerja di Ibu Kota Nusantara (IKN) melalui pelatihan.

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/AfjSSB6vuN"
"Pemerintah menyiapkan tenaga kerja di Ibu Kota Nusantara (IKN) melalui pelatihan.

#Jokowi 
#PulihLebihCepatBangkitLebihKuat https://t.co/9U7IaijdAm"
"Menteri ketenagakerjaan Ida Fauziyah mengungkapkan, kebutuhan tenaga kerja untuk Pembangunan Ibu Kota Nusantara (IKN) akan disesuaikan.

Jokowi Gaspoll Penyerapan Tenaga Kerja. https://t.co/jgt2IQV5T0"
"Menteri PUPR Basuki Hadimuljono menyampaikan, Bendungan Sepaku Semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan Ibu Kota Nusantara (IKN).

Jokowi gaspoll infrastruktur https://t.co/1UCkYv2pdD"
"Ibu kota negara (IKN) akan pindah ke Nusantara yang terletak di Penajam, Paser Utara, Kaltim. Bila sudah resmi pindah, bagaimana nasib DKI Jakarta? https://t.co/8kwNoPKMgG"
"@AbdinegaraSetia @PNS_Ababil IkN itu ibu kota Nusantara.?
Terun nusantara itu negara. Mana ya..?"
"Asosiasi Pengemudi Ojek Online Garda Indonesia mendukung pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur.

Pembangunan IKN Nusantara membutuhkan 260.000 Tenaga Kerja Konstruksi, Garda Indonesia siap bekerjasama dgn Otorita IKN, Kemnaker RI dan PUPR. #IKNNusantara https://t.co/QEVMfNqhvz"
"Presiden Joko Widodo secara resmi meluncurkan, platform metaverse yang terhubung dengan Ibu Kota Nusantara (IKN) di Djakarta Theatre, Jakarta, Jumat (28/10/2022).

Pray for Itaewon Rest In Peace Kanjuruhan Pare Pagii
#PrayForSouthKorea
#JokowiPresidenku
#JokowiHebat https://t.co/eFZN2ev4nc"
"Presiden Joko Widodo secara resmi meluncurkan, platform metaverse yang terhubung dengan Ibu Kota Nusantara (IKN) di Djakarta Theatre, Jakarta, Jumat (28/10/2022).

Pray for Itaewon Rest In Peace Kanjuruhan Pare Pagii
#PrayForSouthKorea
#JokowiPresidenku
#JokowiHebat https://t.co/e61vjliLME"
