id,tweets,sentiment
1586524237833330688,"Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dalam video tersebut, Presiden Jokowi juga mengajak para generasi muda untuk bersatu, bertepatan dengan momen Hari Sumpah Pemuda ",
1586519004411150336,"Menteri PUPR Basuki Hadimuljono menyampaikan, Bendungan Sepaku Semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan Ibu Kota Nusantara IKN

    ",
1586518789784367105,"Menteri Ketenagekerjaan Ida Fauziyah mengungkapkan, kebutuhan tenaga kerja untuk pembangunan Ibu Kota Nusantara IKN akan di sesuaikan

      ",
1586510986785468416,"Metaverse IKN Nusantara ini adalah hasil kolaborasi berbagai anak nusa untuk mendukung pembangunan ibu kota negara baru
 
Rest In Peace 
Malam Minggu Malam Minggu
Kanjuruhan ",
1586493522462486528,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara   ",
1586493226323566592,"Untuk pembangunan Ibu Kota Negara IKN Nusantara Tahap 1, ada komitmen investasi sebesar Rp 200 Triliun    ",
1586493122921791488,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara    ",
1586493082807128067,"Pemerintah optimis ekonomi 2022 5,8 memprediksi pertumbuhan akan naik menjadi 5,3 pada 2023 Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi dan kreativitas  
 ",
1586493081913888770,"Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital  
 ",
1586493078717743104,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara  
 ",
1586441842215747586,Liat Ibu Kota Nusantara Versi Metaverse Jagat Nusantara ,
1586422522580733952,"Jokowi Gas Pol Infrastruktur  Bendungan Sepaku Semoi dibangun untuk Ibu Kota Nusantara amp Balikpapan
 ",
1586411656028246016,"Presiden Joko Widodo meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN, di Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Selasa, 25 Oktober 2022 
 ",
1586403699194474496,"Menunjang pembangunan infrastruktur di Ibu Kota Nusantara IKN, PT Brantas Abipraya Persero Bendungan Sepaku Semoi di Desa Tengin Baru, Kecamatan Sepaku, Kabupaten Penajam Paser Utara, Kalimantan Timur
",
1586389285539717120,"Pemerintah menyiapkan kompetensi para calon pekerja yang akan bersamasama membangun Ibu Kota Nusantara

 Gas Pol Penyerapan Tenaga Kerja ",
1586388162049282049,"Bendungan Sepaku nantinya sangat berperan penting untuk Ibu Kota Nusantara amp Balikpapan

 Gas Pol Infrastruktur ",
1586376917942702081,"Setibanya di Pelabuhan Cita Sabut, Kecamatan Sepaku, Kabupaten Penajam Paser Utara, Presiden dan rombongan akan menuju Titik Nol 0 Ibu Kota Nusantara IKN, yang ada di Kabupaten Penajam Paser Utara ",
1586373335729872896,Jagat Hadirkan Dunia Virtual Ibu Kota Nusantara ,
1586372146460184576,"Presiden  amp para pemuda memasuki Ibu Kota Nusantara IKN versi digital,lalu mengajak mereka bersatu di Hari Sumpah Pemuda Adegan itu tampil di layar saat Presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual Jagat Nusantara, Jumat 281022",
1586369578451730435,"Presiden Jokowi mengajak para pemuda memasuki Ibu Kota Nusantara versi digital,lalu mengajak mereka bersatu di Hari Sumpah Pemuda Itu adalah adegan di layar saat Presiden meluncurkan platform digital berbasis interaksi sosial di dunia virtual Jagat Nusantara,Jumat 281022",
1586360833986400257,"Tenaga kerja di Ibu Kota Nusantara disesuaikan dengan kebutuhan, pemerintah juga menyiapkan melalui pelatihanpelatihan Baik di Balai Pelatihan Vokasi Samarinda maupun Balai Pelatihan Vokasi lainnya ",
1586352313785978880,"Para seniman Tanah Air juga dapat berkreasi dan menikmati hasilnya seperti konser musik Kita juga bisa berolahraga, akan menjadi pengalaman bersama yang seru Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersama melalui inovasi dan kreativitas, ungkap presiden ",
1586350995600121856,"Dengan mengucapkan Bismillahirahmanirrahim, pada sore hari ini secara resmi saya luncurkan Jagat Nusantara, ujar Presiden 

Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital ",
1586346857902804993,Presiden  meluncurkan platform dunia digital atau metaverse yang terhubung dengan Ibu Kota Nusantara IKN Platform dunia digital ini bernama Jagat Nusantara Platform ini diluncurkan bertepatan dengan hari Sumpah Pemuda yaitu pada tanggal 28 Oktober 2022 ,
1586344865167990784,"Luncurkan Platform Digital Jagat Nusantara, Presiden Jokowi: Selamat Datang di Ibu Kota Nusantara: ASKARA  Presiden Joko Widodo meluncurkan platform digital berbasis interaksi sosial di dunia virtual bernama Jagat Nusantara Acara peluncuran tersebut ",
1586332808561430529,"Turut hadir dalam acara tersebut yaitu Menteri Sek Negara Pratikno, Menteri BUMN Erick Thohir, Menteri Koperasi amp Usaha Kecil Menengah Teten Masduki, Wakil Menteri Pariwisata amp Ekonomi Kreatif Angela Tanoesoedibjo, dan Kepala Badan Otorita Ibu Kota Nusantara Bambang Susantono",
1586332664692236288,"Tinjau Pembangunan Infrastruktur IKN, Presiden Jokowi: Ini Progres yang Baik

Presiden Jokowi meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN, di Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Selasa, 25 Oktober 2022 ",
1586331041505345536,"Luncurkan IKN Versi Virtual,Jokowi: Selamat Datang Di Ibu Kota Nusantara ",
1586325433313742849,"Selasa, 25 Oktober 2022, Presiden Jokowi mengunjungi Ibu Kota Nusantara IKN melalui jalur laut dengan menggunakan KRI Escolar  871 Jarak dari Pelabuhan Semayang, Kota Balikpapan ke Pelabuhan Cita Sabut, Kecamatan Sepaku, Kabupaten Penajam Paser Utara ditempuh selama 1 jam ",
1586324825160617984, Makan tu iknibu kota nusantarahahahakalau nkri ibu kota nya DKI Jakartabro,
1586312950687887360,"Presiden  versi avatar  mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital saat Luncurkan Platform Digital Jagat Nusantara

Keren yaa ",
1586311965886251008,"info lagii kalian udh bisa jalanjalan ke Ibu Kota Nusantara secara virtual lewat Jagat Gaslah, mumpung masih gratis heheh ",
1586311962539208704,"Wah bangga banget sekarang ada aplikasi dunia virtual pertama di Indonesia Kapan lagi ya kan, kalian bisa jalan jalan ke ibu kota Nusantara lewat aplikasi Jagat 
",
1586298539964960768, Mudah an berbalikikn itu ibu kota nusantarakalau nkri ibukota nya DKI Jakartasilahkan gubernur mau nya apa silahkan jangan keluarin sumpah serapahkalau orang di pulau jawa ngeluarin sumpah palapa gimanamau apa elunanti penghuni nya wna china disana,
1586298203036876800,"Dengan mengucapkan bismillahirahmanirrahim, pada sore hari ini secara resmi saya luncurkan Jagat Nusantara, ujar Presiden Jokowi

Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital",
1586287474074157057,"Menteri BUMN Erick Thohir meminta jangan ada persepsi pemerintah pusat meninggalkan DKI Jakarta lantaran ada program ibu kota baru, IKN Nusantara ",
1586281829853966336,"Setidaknya, kini sudah ada 9 perusahaan rintisan yang memiliki dunia virtual di platform yang terhubung dengan Ibu Kota Nusantara IKN itu ",
1586266266284662784,"Jagatio merupakan platforn dunia virtual pertama di Indonesia yang terhubung dengan kota nyata, yakni Ibu Kota Nusantara IKN 
Sumatera Utara




 ",
1586261447243616261,"Kerennya Indonesia kita

Presiden Joko Widodo meluncurkan metaverse khusus Ibu Kota Negara IKN Nusantara bernama Jagat Nusantara

Baca artikel CNN Indonesia Jokowi Luncurkan Metaverse IKN Bernama Jagat Nusantara selengkapnya di sini: ",
1586260554145878017,"Masih Gratis, Anda Bisa Jalanjalan ke Ibu Kota Nusantara Lewat Jagat ",
1586251675303481345,"Presiden Jokowi meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN, di Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Selasa, 25 Oktober 2022 ",
1586242527690006528,"Para seniman Tanah Air jg dapat berkreasi amp menikmati hasilnya seperti konser musik Kita juga bisa berolahraga, akan menjadi pengalaman bersama yg seru Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi amp kreativitas, ungkap Presiden Jokowi ",
1586242511135121409,"Layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dalam video tersebut, Presiden Jokowi juga mengajak para generasi muda untuk bersatu, bertepatan dengan momen Hari Sumpah Pemuda ",
1586238344651886592,Presiden Jokowi versi avatar akan mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital ,
1586237873799319552,"Ada yang berbeda dalam kunjungan Presiden Joko Widodo ke Ibu Kota Nusantara IKN pada Selasa, 25 Oktober 2022 Biasanya Presiden dan rombongan menggunakan jalur darat dari Balikpapan ke IKN dengan waktu tempuh selama 2 jam ",
1586236330555514880,"INFO  Jagat Nusantara tampilkan dunia virtual Ibu Kota Negara baru

Aceh Mendukung 




 ",
1586235315911462913,"NEWS  Jagat Nusantara tampilkan dunia virtual Ibu Kota Negara baru

Aceh Mendukung 




 ",
1586225280368377856,"Pak  hadiri peluncuran Platform digital Jagat Nusantara Metaverse IKN 
Generasi muda harus bersatu bangun masa depan bangsa, baik scr ekonomi riil maupun ekonomi digital, Ayo ikut saya Kita mulai dr sini Selamat datang di Ibu Kota Nusantara ucap Presiden  ",
1586207720436158465,  Halu,
1586205166428004352,"Kunjungi Ibu Kota Nusantara di Kaltim, Jokowi: Pembangunan Akan Terlihat Januari 2023 ",
1586204191453638656,"Penipuan ko semakin masif ya,setiap hari ada aja ",
1586200056935288832,"Gubernur Kaltim Isran Noor menyinggung pihakpihak yang tak setuju terhadap pembangunan Ibu Kota Nusantara IKN
Ia menekankan bahwa pembangunan IKN merupakan kepentingan nasional

tahu sendiri mayoritas kadrun pasti tidak setuju   ",
1586199012184817664,"Para generasi muda harus bersatu untuk membangun masa depan bangsa, baik secara ekonomi riil maupun ekonomi digital Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara ",
1586198534747217920,"Kenalkan, namanya  Jagat Nusantara platform digital berbasis interaksi sosial di dunia virtual Aplikasi jalan jalan virtual menuju Ibu Kota Nusantara IKN versi digital

    ",
1586192750457851905,Kementerian PUPR mulai membangun infrastruktur dasar pendukung Kawasan Inti Pusat Pemerintahan KIPP IKN Nusantara ibu kota baru Begini penampakannya  ,
1586191131338866688,Presiden Jokowi menghimbau untuk penerapan tenaga kerja di Ibu Kota Nusantara sesuai dengan kebutuhan ,
1586177608232075264, Keberadaan Jembatan Pulau Balang memiliki peran penting dalam pembangunan Ibu Kota Nusantara IKN ,
1586170076247433217,"SELAMAT DATANG Di IBU KOTA NUSANTARA

Menteri BUMN  turut hadir dalam Acara peluncuran platform digital lokal, Jagat Nusantara digelar di Djakarta Theater, Jakarta Pusat

 ",
1586163908188209152,"Sederet pembangunan infrastruktur dasar Ibu Kota Nusantara atau IKN Nusantara di Kalimantan Timur, dimulai pada 2022 ini
Antara lain BBPJN telah menyiapkan pembangunan sarana jalan Tol dan pendukung pembangunan infrastruktur Ibu Kota Nusantara atau IKN Nusantara ",
1586163753967489024,"Kebijakan yg tepat dari Pakde Jokowi 
Benar kata pakde, Ibu kota bukan hanya simbol identitas bangsa, tetapi juga representasi kemajuan bangsaIni demi terwujudnya pemerataan dan keadilan ekonomiIni demi visi Indonesia Maju Indonesia yg hidup selamalamanya

IKN Nusantara ",
1586163406704443392,"Infrastruktur dasar dan paling awal dibangun di IKN Nusantara adalah sumber air Karena akan jadi nyawa ibu kota baru nantiPresiden Jokowi

Ketakutan Finansial Ari Lasso
Rehan Lisa open po Halloween


 
 
 ",
1586159755831443457,"Balai Besar Pelaksanaan Jalan Nasional BBPJN telah siapkan pembangunan sarana jalan dan pendukung pembangunan infrastruktur Ibu Kota Nusantara atau IKN Nusantara

Selanjutnya pembangunan jalan dari Karang Joang menuju Kariangau langsung ke Pulau Balang ",
1586156048309956609,"  Ya,
Ibu Kota
Negara Baru 
Jagad Nusantara
Inves dong Un, konsesi 160 th",
1586139532981784576,"Presiden Joko Widodo meluncurkan metaverse khusus Ibu Kota Negara IKN Nusantara bernama Jagat Nusantara

Metaverse IKN Nusantara ini adalah hasil kolaborasi berbagai anak bangsa untuk mendukung pembangunan ibu kota negara baru

 ",
