id,label
1.04272e+18,garagarabola_
1.29136e+18,xxviizzz
228979127.0,awfannnn
3166225146.0,san_ozil
1.52493e+18,chita_toe
1.35657e+18,adityarahman129
1.07886e+18,maximawandamoff
1.03728e+18,princes66934439
1.35882e+18,ON_Trending89
7.65035e+17,IndiHomeCare
1502481907.0,desindahpurnama
1.45775e+18,addien90s
335792589.0,geli_alay
1.08432e+18,Akun___Receh
179835283.0,KemenPU
9.34259e+17,Mars_Sahsa
1.28069e+18,KarinaDwiRatna1
8.24622e+17,SerambiAzra
1.37477e+18,syadiah_d
9.71412e+17,khalidsyihab_
9.30237e+17,BerekClarita
1.15714e+18,MKrenthil
1.14528e+18,dfirdiansyah1
114697372.0,musniumar
1.21432e+18,EdiMahaMG
2385926900.0,MARQUEZ__93
1.10727e+18,GeorgeVanMars
9.53489e+17,lelakimusaja
1.01474e+18,gyudyllic
2156465923.0,yusuf_dumdum
44556194.0,elisa_jkt
186801139.0,sudjiwotedjo
235931838.0,kangdede78
1.47494e+18,Mbahhardiman
1.1017e+18,03__nakula
1.33403e+18,Kimberley20101
137349848.0,panjiraden
1.2659e+18,_MbakSri_
1.51416e+18,P3N73L474H
1203926900.0,RadenKianSayang
3328222849.0,Bola_Jakarta
2262545574.0,blogombal
62764588.0,NephiLaxmus
129750289.0,ZAEffendy
1.47444e+18,shienthaisme
1.19085e+18,Ratomo_
491904650.0,erwinadityar
1.22644e+18,keuangannews_id
1.49763e+18,RestyCaayah
8.47373e+17,cnbcindonesia
1.44384e+18,misterprepp
1.3845e+18,CURSEDSPIRlT
65863622.0,Poconggg
525931395.0,IrwanCourtesy
1097599812.0,GuideforAll
1.27679e+18,AnakLolina2
1.3058e+18,IndonesiaRahayu
103210292.0,AzzamIzzulhaq
8.23117e+17,lastman365214
2905814730.0,abu_waras
1.33407e+18,RagilSemar
1.39678e+18,SukmaWi12127725
1.33485e+18,Mdy_Asmara1701
41730943.0,VIVAcoid
8.04501e+17,ucoxregar
1.42876e+18,anaktermudaa
229293459.0,eddputraa
1.25803e+18,BLACK427704522
8.80019e+17,007koteka
102938290.0,satriohendri
1.1854e+18,Nataliaamerta
1.46563e+18,Obay_Kusut1981
2307831434.0,Gakepikiranap
105085302.0,bachrum_achmadi
309508253.0,fikri_arif
304000892.0,azisPRDT
1.34018e+18,RieGucciano
1.27689e+18,AngelaMoeza
9.07897e+17,UyokBack
1.36169e+18,Andracadabra1
1.33884e+18,L3laki_5unyi
1.01653e+18,Stevaniehuangg
1.19723e+18,Askrlfess
1.15271e+18,JantunGPiisanG
1200259514.0,ikn_info
1.04608e+18,collegemenfess
64427031.0,gerysaputra
1.13229e+18,GarengHallu
578402484.0,sasasayatusa_
1.48963e+18,Gyabnera
1.48957e+18,BenuTianw
1.22772e+18,sutanmangara
1.43264e+18,harry_lek
379823029.0,rickasun09
964797378.0,LareTimoer
1.2797e+18,moenthe_
52599143.0,Foxid66
1039874077.0,info_b4ngsa
1.33688e+18,manusiagabersa1
1.34453e+18,_Qirani__Ayara
1.40977e+18,haji_dio
1.09532e+18,OrangBaikMaju
1.47691e+18,FrankyAnatri
9.30456e+17,barramahardika
1.45628e+18,Yurissa_Samosir
1.17831e+18,habibur91486814
1.36659e+18,Astan_na
2363027508.0,PSSI
1.13525e+18,ZeroDemoCRAZY
842986784.0,AgusYudhoyono
1.44265e+18,matchadanrotii
1.14243e+18,cursedkidd
1.46272e+18,U_HcintaNKRI
274895088.0,lps_idic
1601505026.0,your2rl
1.45961e+18,LFajjar
44845827.0,hetsaharun
1.32559e+18,SaifuddinSay
1.21531e+18,Nderenny
1.20764e+18,p3juangNKRI
2723509159.0,Rianti_Putri28
19190361.0,NOTASLIMBOY
1.47992e+18,simon_baab
1.25942e+18,FelixMagath6
1.28995e+18,Ndons_Back
2963337276.0,Quvvatt
145291264.0,santabi47
1370954100.0,afathngantuk
124402522.0,gen1031fmsby
1.09549e+18,deezaen
914111106.0,oinaoini
1.18354e+18,Wiznu_Prayoga
1.31458e+18,kitabersatupadu
1.17438e+18,Big_Be4r
8.70907e+17,ledlaki
1.25182e+18,Heraloebss
1.4889e+18,HarisRuslyMoti
1108629745.0,unikaplale
1.32254e+18,langityang7
9.03307e+17,jumianto_RK_
1.38404e+18,Gelar_AM
147535405.0,Gandawan
20963426.0,korantempo
1.20652e+18,Mythicalforest
1.4378e+18,PejabatHarian
9.19617e+17,SahabatSaber
9.02828e+17,keenan_group
1.04744e+18,RestuIlham9
444260943.0,Speedtrap_
2384696084.0,RonaldLampard8
625536241.0,fitri_retnosa
1.30032e+18,kalla_jengking
529172135.0,faizwtsqlum
7.29711e+17,UbedilahB
314950399.0,ak03l
2165860890.0,SisiwittFrida
2198301883.0,mr_adityason
43088704.0,erickthohir
9.0141e+17,Luh_Jin66an
1.37752e+18,Denia_Hasan99
1.50263e+18,Tofa_Tofa_Tofa
1.15981e+18,ismyanotherlife
7.48158e+17,pakarkampanye
1.18996e+18,TofaTofa_id
76995944.0,ashnuu
34075325.0,ismailfahmi
72379256.0,matKabloy
833172937.0,ABSetyono
1.40388e+18,cak_an6
2542665199.0,YRadianto
1.33255e+18,KetumProDEMnew
198412976.0,_ekokuntadhi
1.18008e+18,WajahPribumi22
1.27132e+18,KaredokLeunca__
