source,target,source_name,target_name
1.49968e+18,413888550.0,finaaaudina,abangbelneg
1.54168e+18,1.1984e+18,wa_riedin,nusantara_one
84026779.0,1.22293e+18,Dianrahmad_MD,idextratime
1.52495e+18,1.56557e+18,tire920,KangGhibah1318
2834058588.0,71436318.0,Zwykli_Ludzie,KompasTV
1.48438e+18,413888550.0,asxzcv5,abangbelneg
3031860636.0,1.53482e+18,KanbaRiyadin,indowfofficial
1.48437e+18,1.39955e+18,iuytr11663393,IKNnusantaraID
309109671.0,3300886267.0,ishak_Ec,le_4Ziz
1.50051e+18,121640063.0,ChabyZaina,RadioElshinta
1.49268e+18,322559270.0,RadioPenyiar,forjakeu
1.52406e+18,1.1984e+18,TokokMbah,nusantara_one
1.48554e+18,1.47444e+18,WikeHimawan,Amarizahhh
1.49708e+18,413888550.0,LiePradani,abangbelneg
7.80217e+17,1.27098e+18,BiakNumfor2018,Tan_Mar3M
1.56516e+18,1.56264e+18,FelisaTika,gil_channy
1.48958e+18,1.39955e+18,BinaAndreina,IKNnusantaraID
1.49896e+18,1.39955e+18,WiraTimoer,IKNnusantaraID
1.48727e+18,1.39955e+18,SemarMeshem,IKNnusantaraID
1.56516e+18,1.54735e+18,FelisaTika,pradana975
1.56516e+18,1579499324.0,FelisaTika,icha_elsya
1.55142e+18,7.73848e+17,Jayanegara_5555,junimendo007
1.50698e+18,1.39955e+18,yurikanamnam,IKNnusantaraID
1.56516e+18,1.56554e+18,FelisaTika,KokoPrasetya12
1.31316e+18,1.46496e+18,BujangL61355854,vionalubis2
1.51082e+18,922669790.0,SulisTyyaa,KotaNusantara
1.48778e+18,922669790.0,IhsanNu01428360,KotaNusantara
1.28332e+18,9.10503e+17,BenAL87012128,JoeWongJaVa
1.4896e+18,413888550.0,Vinazery,abangbelneg
1.33921e+18,1.1984e+18,Agustio87711949,nusantara_one
1.49759e+18,413888550.0,quovino1,abangbelneg
262904250.0,1.53157e+18,reeendi_,sekolahkriptoid
309109671.0,1.11799e+18,ishak_Ec,msaid_didu
1.48878e+18,922669790.0,Yuan57443697,KotaNusantara
1.56902e+18,1.56916e+18,oziojio1,bjorxanism
1.47393e+18,2872998758.0,SomarwaneSefnat,enny_endah
1.48819e+18,1.53772e+18,AhmadHafidzAnas,Cecep57465504
1.56516e+18,1192071438.0,FelisaTika,NURADILAHMATSAU
1.36822e+18,30201110.0,Keysaarifa4,alisyarief
1.53374e+18,1.56454e+18,wongjamet,amel7cantika
1.48878e+18,413888550.0,Yuan57443697,abangbelneg
1.44905e+18,1.36678e+18,rm_wiyono2,CintaNegeri_99
1.06902e+18,122020937.0,BangNtong,MardaniAliSera
320252630.0,1.36678e+18,buse_mtfb,CintaNegeri_99
1.48548e+18,413888550.0,LusianaHalida,abangbelneg
1.48407e+18,413888550.0,anitajeann90,abangbelneg
8.78041e+17,1.21115e+18,PujiHartoyo6,alextham878
1.02894e+18,178237411.0,daudbagol,AndiSinulingga
1.29626e+18,181350117.0,Rajawali_NKRI,_samaraporto
63259705.0,115438018.0,ferdymad,sociotalker
1.5642e+18,9.33887e+17,PudjiastutiRosa,PutraKeong4
2943494432.0,1.54734e+18,Rheny_Prihaty29,putrian64
1.48618e+18,922669790.0,DessitaHapsari,KotaNusantara
1.55374e+18,1.53768e+18,R575sukses,khandamu69
1.45687e+18,1.49955e+18,kadang_benar,Sharon66582679
1.49708e+18,413888550.0,AyuRikacute,abangbelneg
1.48583e+18,413888550.0,NimanaTita,abangbelneg
1.50698e+18,413888550.0,yurikanamnam,abangbelneg
1.56232e+18,1.1984e+18,huseinmanullang,nusantara_one
9.74917e+17,1.1984e+18,TenaboloDade,nusantara_one
1.4996e+18,1.39955e+18,milieana1,IKNnusantaraID
1.54383e+18,1.42434e+18,baleface1,sixtyone_04
1.54494e+18,3522129133.0,NenekDariCucuku,KemensetnegRI
1.06902e+18,452992293.0,BangNtong,RamliRizal
2943494432.0,1.5383e+18,Rheny_Prihaty29,yahramafaza
1.49905e+18,922669790.0,JokoLadun,KotaNusantara
1.48437e+18,413888550.0,gyujh06606181,abangbelneg
1.48696e+18,413888550.0,ramdani0348,abangbelneg
1.50699e+18,413888550.0,hunhun70003540,abangbelneg
1.50367e+18,1.39955e+18,davidxsantoso,IKNnusantaraID
1.45252e+18,576525774.0,nadiapurwati89,nonie_mis
1047153853.0,1.50282e+18,Kanzia_92,DokterTifa
1047153853.0,8.5307e+17,Kanzia_92,HisyamMochtar
1047153853.0,1.11799e+18,Kanzia_92,msaid_didu
2851876758.0,1.54712e+18,AlfianaHanna2,DilraGervania
2376671318.0,1.54712e+18,PEDROSAHILL,DilraGervania
1.04344e+18,1.31131e+18,Rengganis1234,DiposuroP
7.89736e+17,69183155.0,Jampang81527130,detikcom
78498124.0,1.52132e+18,Abdulmouse82,SekarTa58984305
1.47294e+18,1.1984e+18,RadenBoy19,nusantara_one
1.08182e+18,1.39425e+18,astroharis,vvotanet
1.48407e+18,413888550.0,bilqizameliani,abangbelneg
1.22174e+18,7.03898e+17,mx00711,JinNonik
1.43135e+18,1.41338e+18,ProfylHenuk,CakCilik
1.4896e+18,1.39955e+18,Vinazery,IKNnusantaraID
486680439.0,123483858.0,darkshine_1890,ndagels
3505258213.0,185101017.0,Tri_nugraha_,HumasPoldaJatim
1.49461e+18,922669790.0,bagushape1,KotaNusantara
1.54854e+18,1.53553e+18,YudiPer15757051,FerdinandHutah4
1.39606e+18,413888550.0,PapuaDari,abangbelneg
1.49856e+18,413888550.0,AnaSire9ar,abangbelneg
1.38223e+18,1.53907e+18,EdmilH,wijayaalam2
2914364088.0,1395936762.0,Tyaraaho_Laf,frida_oroh
1.33658e+18,1.11799e+18,onlinebooksto11,msaid_didu
2907040202.0,1.18924e+18,Anggita_lung,KangCendol_33
1.49597e+18,413888550.0,chainiagwen,abangbelneg
562856379.0,1.53161e+18,Fakhri_Glem,Sakuravssosuke
1.51695e+18,922669790.0,bangajadianak,KotaNusantara
1.48776e+18,922669790.0,PutraJu57477216,KotaNusantara
1.357e+18,1197418718.0,riderapi98,bagasayudhi
1.48776e+18,413888550.0,PutraJu57477216,abangbelneg
1.39606e+18,1.39955e+18,PapuaDari,IKNnusantaraID
